283.294, 133.064, 7.964,  8.768 False
283.028, 133.077, 7.993,  8.801 False
282.761, 133.086, 8.021,  8.834 False
282.493, 133.093, 8.049,  8.867 False
282.224, 133.098, 8.076,  8.900 False
281.955, 133.099, 8.102,  8.933 False
281.684, 133.101, 8.135,  8.966 False
281.412, 133.102, 8.165,  8.999 False
281.139, 133.101, 8.195,  9.032 False
280.865, 133.098, 8.220,  9.065 False
280.591, 133.092, 8.241,  9.098 False
280.316, 133.085, 8.260,  9.131 False
280.041, 133.076, 8.274,  9.164 False
279.765, 133.065, 8.287,  9.197 False
279.489, 133.052, 8.297,  9.230 False
279.213, 133.036, 8.305,  9.263 False
278.937, 133.019, 8.312,  9.296 False
278.661, 132.999, 8.318,  9.329 False
278.384, 132.979, 8.326,  9.362 False
278.107, 132.959, 8.331,  9.395 False
277.831, 132.937, 8.335,  9.428 False
277.554, 132.914, 8.337,  9.461 False
277.277, 132.889, 8.339,  9.494 False
277.000, 132.863, 8.341,  9.527 False
276.724, 132.835, 8.343,  9.560 False
276.447, 132.806, 8.345,  9.593 False
276.171, 132.776, 8.346,  9.626 False
275.895, 132.744, 8.347,  9.659 False
275.619, 132.712, 8.349,  9.692 False
275.342, 132.679, 8.351,  9.725 False
275.066, 132.646, 8.351,  9.758 False
274.790, 132.612, 8.352,  9.791 False
274.514, 132.577, 8.352,  9.824 False
274.238, 132.541, 8.353,  9.857 False
273.962, 132.503, 8.353,  9.890 False
273.686, 132.466, 8.353,  9.923 False
273.410, 132.427, 8.353,  9.956 False
273.135, 132.387, 8.353,  9.989 False
272.859, 132.346, 8.353, 10.022 False
272.584, 132.304, 8.353, 10.055 False
272.309, 132.264, 8.354, 10.088 False
272.033, 132.223, 8.354, 10.121 False
271.758, 132.181, 8.354, 10.154 False
271.483, 132.138, 8.354, 10.187 False
271.208, 132.096, 8.354, 10.220 False
270.933, 132.053, 8.354, 10.253 False
270.658, 132.010, 8.353, 10.286 False
270.383, 131.966, 8.353, 10.319 False
270.108, 131.922, 8.353, 10.352 False
269.833, 131.878, 8.353, 10.385 False
269.558, 131.833, 8.353, 10.418 False
269.283, 131.788, 8.352, 10.451 False
269.009, 131.743, 8.352, 10.484 False
268.734, 131.698, 8.352, 10.517 False
268.459, 131.653, 8.351, 10.550 False
268.184, 131.609, 8.351, 10.583 False
267.910, 131.564, 8.351, 10.616 False
267.635, 131.520, 8.351, 10.649 False
267.360, 131.475, 8.350, 10.682 False
267.085, 131.431, 8.350, 10.715 False
266.811, 131.386, 8.350, 10.748 False
266.536, 131.342, 8.349, 10.781 False
266.261, 131.298, 8.349, 10.814 False
265.986, 131.253, 8.349, 10.847 False
265.711, 131.209, 8.348, 10.880 False
265.437, 131.165, 8.348, 10.913 False
265.162, 131.122, 8.348, 10.946 False
264.887, 131.078, 8.347, 10.979 False
264.612, 131.034, 8.347, 11.012 False
264.337, 130.991, 8.347, 11.045 False
264.063, 130.948, 8.347, 11.078 False
263.788, 130.905, 8.346, 11.111 False
263.513, 130.862, 8.346, 11.144 False
263.238, 130.820, 8.346, 11.177 False
262.963, 130.777, 8.345, 11.210 False
262.688, 130.735, 8.345, 11.243 False
262.413, 130.694, 8.345, 11.276 False
262.138, 130.652, 8.344, 11.309 False
261.863, 130.611, 8.344, 11.342 False
261.588, 130.570, 8.344, 11.375 False
261.313, 130.530, 8.344, 11.408 False
261.037, 130.489, 8.343, 11.441 False
260.762, 130.449, 8.343, 11.474 False
260.487, 130.409, 8.343, 11.507 False
260.212, 130.370, 8.343, 11.540 False
259.936, 130.331, 8.342, 11.573 False
259.661, 130.293, 8.342, 11.606 False
259.385, 130.255, 8.342, 11.639 False
259.110, 130.217, 8.342, 11.672 False
258.834, 130.179, 8.342, 11.705 False
258.559, 130.142, 8.341, 11.738 False
258.283, 130.105, 8.341, 11.771 False
258.008, 130.068, 8.341, 11.804 False
257.732, 130.033, 8.340, 11.837 False
257.456, 129.998, 8.340, 11.870 False
257.180, 129.963, 8.340, 11.903 False
256.904, 129.928, 8.340, 11.936 False
